station,station_id,date,discharge_m3s
Mogami_302111282214010,302111282214010,1980-04-09,838.11
Mogami_302111282214010,302111282214010,1980-04-10,749.97
Mogami_302111282214010,302111282214010,1980-04-11,643.39
Mogami_302111282214010,302111282214010,1980-04-12,665.89
Mogami_302111282214010,302111282214010,1980-04-13,898.65
Mogami_302111282214010,302111282214010,1980-04-14,1144.42
Mogami_302111282214010,302111282214010,1980-04-15,1006.75
Mogami_302111282214010,302111282214010,1980-04-16,623.32
Mogami_302111282214010,302111282214010,1980-04-17,550.09
Mogami_302111282214010,302111282214010,1980-04-18,447.43
Mogami_302111282214010,302111282214010,1980-04-19,433.4
Mogami_302111282214010,302111282214010,1980-04-20,522.47
Mogami_302111282214010,302111282214010,1980-04-21,700.39
Mogami_302111282214010,302111282214010,1980-04-22,621.28
Mogami_302111282214010,302111282214010,1980-04-23,552.2
Mogami_302111282214010,302111282214010,1980-04-24,517.29
Mogami_302111282214010,302111282214010,1980-04-25,447.45
Mogami_302111282214010,302111282214010,1980-04-26,428.03
Mogami_302111282214010,302111282214010,1980-04-27,428.01
Mogami_302111282214010,302111282214010,1980-04-28,587.52
Mogami_302111282214010,302111282214010,1980-04-29,686.11
Mogami_302111282214010,302111282214010,1980-04-30,476.89
Mogami_302111282214010,302111282214010,1980-05-01,461.31
Mogami_302111282214010,302111282214010,1980-05-02,473.36
Mogami_302111282214010,302111282214010,1980-05-03,389.65
Mogami_302111282214010,302111282214010,1980-05-04,475.11
Mogami_302111282214010,302111282214010,1980-05-05,647.08
Mogami_302111282214010,302111282214010,1980-05-06,504.38
Mogami_302111282214010,302111282214010,1980-05-07,440.7
Mogami_302111282214010,302111282214010,1980-05-08,355.85
Mogami_302111282214010,302111282214010,1980-05-09,391.99
Mogami_302111282214010,302111282214010,1980-05-10,427.93
Mogami_302111282214010,302111282214010,1980-05-11,366.67
Mogami_302111282214010,302111282214010,1980-05-12,350.01
Mogami_302111282214010,302111282214010,1980-05-13,370.07
Mogami_302111282214010,302111282214010,1980-05-14,412.86
Mogami_302111282214010,302111282214010,1980-05-15,409.03
Mogami_302111282214010,302111282214010,1980-05-16,472.51
Mogami_302111282214010,302111282214010,1980-05-17,255.55
Mogami_302111282214010,302111282214010,1980-05-18,220.82
Mogami_302111282214010,302111282214010,1980-05-19,201.42
Mogami_302111282214010,302111282214010,1980-05-20,210.18
Mogami_302111282214010,302111282214010,1980-05-21,248.55
Mogami_302111282214010,302111282214010,1980-05-22,733.29
Mogami_302111282214010,302111282214010,1980-05-23,443.51
Mogami_302111282214010,302111282214010,1980-05-24,279.81
Mogami_302111282214010,302111282214010,1980-05-25,239.34
Mogami_302111282214010,302111282214010,1980-05-26,579.84
Mogami_302111282214010,302111282214010,1980-05-27,536.0
Mogami_302111282214010,302111282214010,1980-05-28,266.31
Mogami_302111282214010,302111282214010,1980-05-29,217.39
Mogami_302111282214010,302111282214010,1980-05-30,207.32
Mogami_302111282214010,302111282214010,1980-05-31,195.05
Mogami_302111282214010,302111282214010,1980-06-01,182.66
Mogami_302111282214010,302111282214010,1980-06-02,175.63
Mogami_302111282214010,302111282214010,1980-06-03,169.03
Mogami_302111282214010,302111282214010,1980-06-04,142.74
Mogami_302111282214010,302111282214010,1980-06-05,128.07
Mogami_302111282214010,302111282214010,1980-06-06,119.27
Mogami_302111282214010,302111282214010,1980-06-07,115.34
Mogami_302111282214010,302111282214010,1980-06-08,120.68
Mogami_302111282214010,302111282214010,1980-06-09,167.92
Mogami_302111282214010,302111282214010,1980-06-10,260.0
Mogami_302111282214010,302111282214010,1980-06-11,136.6
Mogami_302111282214010,302111282214010,1980-06-12,107.67
Mogami_302111282214010,302111282214010,1980-06-13,92.03
Mogami_302111282214010,302111282214010,1980-06-14,82.32
Mogami_302111282214010,302111282214010,1980-06-15,79.94
Mogami_302111282214010,302111282214010,1980-06-16,71.27
Mogami_302111282214010,302111282214010,1980-06-17,166.21
Mogami_302111282214010,302111282214010,1980-06-18,495.49
Mogami_302111282214010,302111282214010,1980-06-19,188.54
Mogami_302111282214010,302111282214010,1980-06-20,103.56
Mogami_302111282214010,302111282214010,1980-06-21,99.49
Mogami_302111282214010,302111282214010,1980-06-22,105.07
Mogami_302111282214010,302111282214010,1980-06-23,84.36
Mogami_302111282214010,302111282214010,1980-06-24,70.62
Mogami_302111282214010,302111282214010,1980-06-25,61.91
Mogami_302111282214010,302111282214010,1980-06-26,73.49
Mogami_302111282214010,302111282214010,1980-06-27,440.88
Mogami_302111282214010,302111282214010,1980-06-28,231.7
Mogami_302111282214010,302111282214010,1980-06-29,152.43
Mogami_302111282214010,302111282214010,1980-06-30,112.23
Mogami_302111282214010,302111282214010,1980-07-01,90.02
Mogami_302111282214010,302111282214010,1980-07-02,76.78
Mogami_302111282214010,302111282214010,1980-07-03,98.38
