source_file,station_name,year,event_id,rising_time,rising_value(ML/day),peak_time,peak_value(ML/day),recession_time,recession_value(ML/day),n_points,duration_days
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1997,Barcoo River at Blackall 003303A_1997_29,1997-01-20 00:00:00.000000000,0.0,1997-02-02 00:00:00.000000000,72023.876573859,1997-10-23 00:00:00.000000000,0.0,277,277
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1998,Barcoo River at Blackall 003303A_1998_30,1998-10-31 00:00:00.000000000,618.01599916917,1998-11-03 00:00:00.000000000,1728.50944770486,1998-11-05 00:00:00.000000000,499.9942104297011,6,6
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1999,Barcoo River at Blackall 003303A_1999_31,1999-02-17 00:00:00.000000000,0.0,1999-03-03 00:00:00.000000000,6341.122358069904,1999-09-08 00:00:00.000000000,0.0,204,204
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2000,Barcoo River at Blackall 003303A_2000_32,2000-12-09 00:00:00.000000000,0.0,2000-12-18 00:00:00.000000000,4542.542873260092,2000-12-31 00:00:00.000000000,7.862359279246414,23,23
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2001,Barcoo River at Blackall 003303A_2001_33,2001-02-01 00:00:00.000000000,18.05750647656001,2001-02-04 00:00:00.000000000,2065.9860998436097,2001-02-14 00:00:00.000000000,19.180700659309498,14,14
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2002,Barcoo River at Blackall 003303A_2002_34,2002-01-07 00:00:00.000000000,98.84108808218662,2002-01-10 00:00:00.000000000,5929.6012894118885,2002-01-16 00:00:00.000000000,103.16106570827988,10,10
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2003,Barcoo River at Blackall 003303A_2003_35,2003-01-01 00:00:00.000000000,0.0,2003-02-13 00:00:00.000000000,7710.382466394156,2003-03-18 00:00:00.000000000,0.0,77,77
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2004,Barcoo River at Blackall 003303A_2004_36,2004-01-01 00:00:00.000000000,0.0,2004-01-14 00:00:00.000000000,39302.63804377141,2004-03-05 00:00:00.000000000,0.0,65,65
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2005,Barcoo River at Blackall 003303A_2005_37,2005-05-22 00:00:00.000000000,0.0,2005-06-23 00:00:00.000000000,653.1806170472256,2005-07-11 00:00:00.000000000,0.0,51,51
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2006,Barcoo River at Blackall 003303A_2006_38,2006-04-13 00:00:00.000000000,2.073589260466832,2006-04-16 00:00:00.000000000,5799.829161537971,2006-04-25 00:00:00.000000000,1.8143906029070287,13,13
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2007,Barcoo River at Blackall 003303A_2007_39,2007-11-26 00:00:00.000000000,59.44289213344428,2007-12-03 00:00:00.000000000,6542.778913630055,2007-12-08 00:00:00.000000000,48.98854627848399,13,13
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2008,Barcoo River at Blackall 003303A_2008_40,2008-01-15 00:00:00.000000000,5.443171808721087,2008-01-19 00:00:00.000000000,55090.773873865866,2008-02-25 00:00:00.000000000,5.097573598645214,42,42
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2009,Barcoo River at Blackall 003303A_2009_41,2009-03-28 00:00:00.000000000,0.0,2009-04-14 00:00:00.000000000,3652.800281414233,2009-12-01 00:00:00.000000000,0.0,249,249
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2010,Barcoo River at Blackall 003303A_2010_42,2010-12-19 00:00:00.000000000,344.647814999999,2010-12-21 00:00:00.000000000,42194.2582674774,2010-12-31 00:00:00.000000000,14989.02636884173,13,13
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2011,Barcoo River at Blackall 003303A_2011_43,2011-03-17 00:00:00.000000000,60.99808407862932,2011-03-22 00:00:00.000000000,22491.27231322298,2011-04-04 00:00:00.000000000,62.726075128834914,19,19
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2012,Barcoo River at Blackall 003303A_2012_44,2012-01-30 00:00:00.000000000,1071.35445124332,2012-02-05 00:00:00.000000000,102103.1895873834,2012-02-10 00:00:00.000000000,578.8770018802754,12,12
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2013,Barcoo River at Blackall 003303A_2013_45,2013-01-01 00:00:00.000000000,17.107111398831083,2013-01-01 00:00:00.000000000,17.107111398831083,2013-01-01 00:00:00.000000000,17.107111398831083,1,1
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2014,Barcoo River at Blackall 003303A_2014_46,2014-04-06 00:00:00.000000000,0.0,2014-12-16 00:00:00.000000000,2464.288036956547,2014-12-31 00:00:00.000000000,0.6047968676356764,270,270
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,2015,Barcoo River at Blackall 003303A_2015_47,2015-12-29 00:00:00.000000000,238.2035662957492,2015-12-31 00:00:00.000000000,1774.9060074034594,2015-12-31 00:00:00.000000000,1774.9060074034594,3,3
